feature,importance_gini
CLOSED_DAYS_CREDIT_MEAN,3.8603058551682575e-05
BURO_STATUS_C_MEAN_MEAN,3.810460954700414e-05
PREV_CODE_REJECT_REASON_SCO_MEAN,3.803184257313233e-05
BURO_STATUS_1_MEAN_MEAN,3.717452495653009e-05
PREV_NAME_SELLER_INDUSTRY_Clothing_MEAN,3.5614433970336475e-05
REFUSED_RATE_DOWN_PAYMENT_MAX,3.462764876374748e-05
PREV_NAME_PORTFOLIO_Cash_MEAN,3.4330870685787044e-05
INSTAL_PAYMENT_PERC_MEAN,3.393086164329387e-05
PREV_NAME_GOODS_CATEGORY_Consumer Electronics_MEAN,3.310518149193293e-05
PREV_CNT_PAYMENT_SUM,3.219978167483424e-05
REGION_POPULATION_RELATIVE,3.180016981420089e-05
APPROVED_DAYS_DECISION_MAX,3.145914454962619e-05
PREV_NAME_YIELD_GROUP_middle_MEAN,2.9659994679793465e-05
CLOSED_AMT_CREDIT_SUM_MAX,2.8650625873864147e-05
CLOSED_DAYS_CREDIT_UPDATE_MEAN,2.8567459192708783e-05
APARTMENTS_AVG,2.8248822596170265e-05
DAYS_REGISTRATION,2.77063005194474e-05
REG_REGION_NOT_WORK_REGION,2.7050456150132667e-05
BASEMENTAREA_MEDI,2.6948897326327138e-05
BURO_MONTHS_BALANCE_SIZE_SUM,2.6012412571092206e-05
PREV_PRODUCT_COMBINATION_POS industry with interest_MEAN,2.597075363532429e-05
ACTIVE_MONTHS_BALANCE_SIZE_SUM,2.5680281109252434e-05
WALLSMATERIAL_MODE_Wooden,2.3589371227586706e-05
PREV_NAME_GOODS_CATEGORY_Clothing and Accessories_MEAN,2.3198917252918826e-05
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,2.307442286123214e-05
AMT_REQ_CREDIT_BUREAU_MON,2.23215231745644e-05
REFUSED_RATE_DOWN_PAYMENT_MEAN,2.228339985295715e-05
POS_NAME_CONTRACT_STATUS_Signed_MEAN,2.0612828982567797e-05
NAME_CONTRACT_TYPE_Cash loans,1.999715383993198e-05
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,1.9836645019732004e-05
REFUSED_APP_CREDIT_PERC_MAX,1.775744376189473e-05
"PREV_NAME_TYPE_SUITE_Spouse, partner_MEAN",1.743141390252405e-05
